COUNTY,4/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,4/1/10,,,
Alameda             ,"1,443,939","1,457,185","1,467,063","1,467,892","1,466,407","1,462,736","1,462,371","1,470,622","1,484,085","1,497,799","1,509,240","1,510,271",,,
Alpine              ,"1,208","1,220","1,242","1,248","1,257","1,237","1,232","1,252","1,228","1,194","1,178","1,175",,,
Amador              ,"35,100","35,495","36,159","36,656","36,961","37,434","37,843","38,025","37,975","37,884","38,011","38,091",,,
Butte               ,"203,171","204,591","206,942","209,389","211,419","212,955","214,690","216,401","217,801","218,887","219,967","220,000",,,
Calaveras           ,"40,554","41,042","41,773","42,651","43,554","44,348","45,044","45,477","45,670","45,632","45,602","45,578",,,
Colusa              ,"18,804","18,974","19,229","19,538","19,933","20,374","20,729","21,006","21,145","21,221","21,380","21,419",,,
Contra Costa        ,"948,816","962,076","974,657","984,256","993,958","1,001,216","1,007,169","1,015,672","1,027,264","1,038,390","1,047,948","1,049,025",,,
Del Norte,"27,507","27,434","27,517","27,744","28,029","28,251","28,296","28,378","28,526","28,565","28,581","28,610",,,
El Dorado           ,"156,299","160,079","163,300","166,195","168,984","171,739","174,218","176,226","177,897","179,150","180,682","181,058",,,
Fresno              ,"799,407","808,611","821,809","837,256","853,057","866,058","879,128","893,088","906,521","918,560","929,758","930,450",,,
Glenn               ,"26,453","26,584","26,702","26,974","27,210","27,394","27,628","27,872","28,066","28,088","28,120","28,122",,,
Humboldt            ,"126,518","127,011","128,052","129,468","130,712","131,467","131,958","132,443","132,931","133,484","134,353","134,623",,,
Imperial            ,"142,361","143,941","145,954","149,041","152,420","155,793","160,088","164,707","168,495","171,670","174,244","174,528",,,
Inyo                ,"18,071","18,162","18,311","18,461","18,533","18,511","18,442","18,434","18,416","18,416","18,525","18,546",,,
Kern                ,"661,653","672,004","688,063","707,111","728,872","750,969","774,062","795,982","812,830","825,503","837,074","839,631",,,
