COUNTY_NAME,Value,%,YEAR
Los Angeles,29959688130,30.53%,2020
Santa Clara,7452842503,7.59%,2020
San Diego,5713399199,5.82%,2020
San Bernardino,5339364443,5.44%,2020
Riverside,5322611767,5.42%,2020
Orange,5203412227,5.30%,2020
Sacramento,3869082596,3.94%,2020
Contra Costa,3809810219,3.88%,2020
Alameda,3752904942,3.82%,2020
Ventura,2402570115,2.45%,2020
San Mateo,2386806900,2.43%,2020
Kern,2068423396,2.11%,2020
Fresno,2053548000,2.09%,2020
San Joaquin,1841724330,1.88%,2020
Stanislaus,1417590466,1.44%,2020
Monterey,1348961143,1.37%,2020
Sonoma,1261114099,1.29%,2020
Santa Barbara,1137564006,1.16%,2020
Tulare,1014043584,1.03%,2020
Placer,828024546,0.84%,2020
Solano,776688963,0.79%,2020
Marin,776626083,0.79%,2020
Butte,716123502,0.73%,2020
San Luis Obispo,714897644,0.73%,2020
Santa Cruz,709956799,0.72%,2020
Merced,626609243,0.64%,2020
Imperial,474235215,0.48%,2020
Napa,462384684,0.47%,2020
El Dorado,462093559,0.47%,2020
Yolo,444069628,0.45%,2020
Shasta,377476010,0.38%,2020
Madera,325675940,0.33%,2020
Mendocino,312412438,0.32%,2020
Kings,302751573,0.31%,2020
Yuba,257007735,0.26%,2020
Sutter,219836204,0.22%,2020
Nevada,214843764,0.22%,2020
Lake,189781222,0.19%,2020
Tuolumne,178154387,0.18%,2020
Tehama,151252671,0.15%,2020
Calaveras,115552446,0.12%,2020
Siskiyou,115368433,0.12%,2020
San Benito,113529495,0.12%,2020
Glenn,100986885,0.10%,2020
Amador,98957071,0.10%,2020
Inyo,89366804,0.09%,2020
Mariposa,88255323,0.09%,2020
Del Norte,81621241,0.08%,2020
Lassen,81257321,0.08%,2020
Trinity,74630228,0.08%,2020
Colusa,69785072,0.07%,2020
Mono,69249578,0.07%,2020
Plumas,67393220,0.07%,2020
Modoc,38362949,0.04%,2020
Sierra,25717884,0.03%,2020
Alpine,22732682,0.02%,2020
Humboldt,0,0%,2020
Los Angeles,32265763268,30.09%,2021
Santa Clara,7866427009,7.34%,2021
San Diego,6175005844,5.76%,2021
Riverside,5917990701,5.52%,2021
San Bernardino,5906750397,5.51%,2021
Orange,5859070819,5.46%,2021
Contra Costa,4297335547,4.01%,2021
Alameda,4251409856,3.96%,2021
Sacramento,4033952855,3.76%,2021
Ventura,2697935569,2.52%,2021
San Mateo,2453080854,2.29%,2021
Kern,2342861451,2.18%,2021
Fresno,2321372157,2.16%,2021
San Joaquin,2135568232,1.99%,2021
Sonoma,1630964343,1.52%,2021
Monterey,1511064887,1.41%,2021
Stanislaus,1383826748,1.29%,2021
Santa Barbara,1261039816,1.18%,2021
Tulare,1117644563,1.04%,2021
Placer,931155936,0.87%,2021
Marin,898066530,0.84%,2021
Solano,896066692,0.84%,2021
Santa Cruz,837562218,0.78%,2021
San Luis Obispo,801535463,0.75%,2021
Merced,658613267,0.61%,2021
Butte,528622640,0.49%,2021
Imperial,519690000,0.48%,2021
Napa,515822656,0.48%,2021
El Dorado,510698648,0.48%,2021
Yolo,494055587,0.46%,2021
Shasta,449526446,0.42%,2021
Madera,386824307,0.36%,2021
Kings,342032903,0.32%,2021
Mendocino,323283103,0.30%,2021
Yuba,275192261,0.26%,2021
Sutter,245803072,0.23%,2021
Nevada,234986692,0.22%,2021
Lake,209393648,0.20%,2021
Tuolumne,173471278,0.16%,2021
Tehama,167331428,0.16%,2021
San Benito,145871793,0.14%,2021
Calaveras,128028489,0.12%,2021
Siskiyou,125810554,0.12%,2021
