Entity Name,Fiscal Year,Total Expenditures,Estimated Population,Expenditures Per Capita
Alameda,2024,4244700272,1641869,2585
Alpine,2024,27326942,1179,23178
Amador,2024,125814417,39611,3176
Butte,2024,604671332,205928,2936
Calaveras,2024,163584784,44842,3648
Colusa,2024,92032288,21743,4233
Contra Costa,2024,5549211078,1146626,4840
Del Norte,2024,98317911,26345,3732
El Dorado,2024,586097683,188583,3108
Fresno,2024,2636081403,1017431,2591
Glenn,2024,146179910,28736,5087
Humboldt,2024,560985605,133100,4215
Imperial,2024,586066750,182881,3205
Inyo,2024,115890795,18856,6146
Kern,2024,2711087245,910300,2978
Kings,2024,431292670,152627,2826
Lake,2024,245636175,67001,3666
Lassen,2024,84166374,28197,2985
Los Angeles,2024,37577235037,9824091,3825
Madera,2024,440087506,159328,2762
Marin,2024,938068853,252844,3710
Mariposa,2024,117670055,16966,6936
Mendocino,2024,392867138,89476,4391
Merced,2024,834846656,287303,2906
Modoc,2024,42578362,8484,5019
Mono,2024,97606498,12861,7589
Monterey,2024,1681600630,437614,3843
Napa,2024,616676926,135029,4567
Nevada,2024,283322727,100177,2828
Orange,2024,6424119390,3150835,2039
Placer,2024,1059242991,412844,2566
Plumas,2024,93161452,18841,4945
Riverside,2024,7576821683,2442378,3102
Sacramento,2024,4808346528,1578938,3045
San Benito,2024,182102047,65853,2765
San Bernardino,2024,6529897911,2181433,2993
San Diego,2024,7476987270,3291101,2272
San Joaquin,2024,2333165385,791408,2948
San Luis Obispo,2024,935180478,278469,3358
San Mateo,2024,2739777856,741565,3695
Santa Barbara,2024,1464511047,443623,3301
Santa Clara,2024,10722903297,1903198,5634
Santa Cruz,2024,1048647525,262572,3994
Shasta,2024,521946172,179195,2913
Sierra,2024,40367735,3171,12730
Siskiyou,2024,163325345,43409,3762
Solano,2024,1087646199,446426,2436
Sonoma,2024,1569097870,478152,3282
Stanislaus,2024,1401372428,548744,2554
Sutter,2024,280534571,100110,2802
Tehama,2024,226233444,64308,3518
Trinity,2024,83960643,15915,5276
Tulare,2024,1316787306,478918,2750
Tuolumne,2024,236143507,54407,4340
Ventura,2024,3010778369,823863,3654
Yolo,2024,608595393,221666,2746
Yuba,2024,313630201,83721,3746
Alameda,2023,4037262848,1636194,2467
