,,,,,
,County,Value,,,
,Los Angeles,"$34,008,289,675",,,
,Santa Clara,"$8,726,356,201",,,
,San Diego,"$6,389,181,072",,,
,Riverside,"$6,177,896,212",,,
,Orange,"$6,010,844,341",,,
,San Bernardino,"$5,998,381,783",,,
,Contra Costa,"$4,491,758,166",,,
,Sacramento,"$4,432,558,562",,,
,Alameda,"$4,151,361,197",,,
,Ventura,"$2,775,041,107",,,
,San Mateo,"$2,690,213,748",,,
,Fresno,"$2,322,654,843",,,
,Kern,"$2,294,574,372",,,
,San Joaquin,"$2,239,777,511",,,
,Monterey,"$1,556,582,434",,,
,Sonoma,"$1,527,550,487",,,
,Santa Barbara,"$1,301,339,118",,,
,Stanislaus,"$1,218,296,651",,,
,Tulare,"$1,129,474,322",,,
,Placer,"$950,449,899",,,
,Marin,"$948,790,725",,,
,Solano,"$931,094,140",,,
,Santa Cruz,"$845,499,493",,,
,San Luis Obispo,"$805,053,422",,,
,Merced,"$657,277,025",,,
,Butte,"$524,956,591",,,
,Yolo,"$524,093,277",,,
,Imperial,"$516,757,810",,,
,Napa,"$512,283,724",,,
,El Dorado,"$485,758,432",,,
,Humboldt,"$475,114,946",,,
,Shasta,"$442,313,857",,,
,Madera,"$395,550,207",,,
,Kings,"$339,308,110",,,
,Yuba,"$266,922,004",,,
,Nevada,"$251,175,910",,,
,Sutter,"$232,167,990",,,
,Lake,"$215,038,774",,,
,Tuolumne,"$204,023,095",,,
,Tehama,"$185,023,219",,,
,San Benito,"$142,258,330",,,
,Calaveras,"$137,763,923",,,
,Siskiyou,"$125,930,152",,,
,Amador,"$119,068,814",,,
,Glenn,"$116,343,605",,,
,Inyo,"$105,903,825",,,
,Mariposa,"$98,728,473",,,
,Del Norte,"$92,022,093",,,
,Lassen,"$89,656,741",,,
,Plumas,"$87,066,434",,,
,Mono,"$81,007,324",,,
,Colusa,"$77,789,396",,,
,Trinity,"$75,477,173",,,
,Modoc,"$39,447,229",,,
,Sierra,"$27,002,180",,,
,Alpine,"$22,868,255",,,
,Mendocino,$0,,,
