Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?
7/14/23,Anita,A,9:10,AM,3,AM,2,AT,Actor,N
7/14/23,Jilly,A,9:34,AM,3,AM5,3,AT,Recipient,N
7/14/23,Anita,A,10:59,AM,2,AM,2,CH,Actor,N
7/29/23,Jilly,A,10:36,AM,2,AM,3,CH,Actor,N
8/1/23,Natalie,A,11:27,AM,3,AM,2,CH,Actor,N
7/26/23,Jilly,A,11:39,AM,3,AM,2,CH,Actor,N
7/13/23,Anita,A,9:59,AM,3,AM,3,DP,Recipient,N
7/26/23,Jilly,A,11:38,AM,2,AM,3,FT,Recipient,N
7/26/23,Anita,A,11:40,AM,3,AM,2,FT,Actor,N
7/27/23,Jilly,A,2:31,AM,3,AM,2,FT,Actor,N
7/24/23,Jilly,A,9:52,AM,3,AM,3,FT,Recipient,N
7/18/23,Anita,A,8:26,AM,3,AM5,3,TH,Recipient,N
7/15/24,Landon,A,11:55,AM,3,AM,2,FT,Actor,U
7/14/23,Jilly,A,9:55,AM,2,AM,3,AT,Recipient,Y
7/18/23,Anita,A,9:42,AM,2,AM,2,CH,Actor,Y
7/29/23,Jilly,A,8:42,AM,3,AM,1,CH,Actor,Y
7/14/23,Anita,A,9:59,AM,3,AM,2,CH,Actor,Y
7/22/23,Anita,A,11:08,AM,3,AM,2,CH,Actor,Y
7/26/23,Anita,A,11:36,AM,3,AM,2,CH,Actor,Y
8/9/23,Jacob,A,8:50,AM,3,AM,2,CH,Actor,Y
8/1/23,Natalie,A,10:36,AM,3,AM,2,CH,Actor,Y
7/24/23,Jilly,A,9:12,AM,3,AM,2,CH,Actor,Y
7/24/23,Jilly,A,10:21,AM,3,AM,2,CH,Actor,Y
7/29/23,Jilly,A,10:40,AM,3,AM,2,CH,Actor,Y
8/1/23,Natalie,A,11:05,AM,3,AM,3,CH,Actor,Y
8/1/23,Natalie,A,11:12,AM,3,AM,3,CH,Actor,Y
8/1/23,Natalie,A,11:38,AM,3,AM,3,CH,Actor,Y
7/24/23,Jilly,A,10:05,AM,2,AM,2,FT,Actor,Y
7/29/23,Jilly,A,8:44,AM,2,AM,2,FT,Recipient,Y
7/10/23,Jilly,A,11:46,AM,2,AM,3,FT,Recipient,Y
7/18/23,Anita,A,9:06,AM,3,AM,2,FT,Actor,Y
7/29/23,Jilly,A,8:31,AM,3,AM,2,FT,Actor,Y
8/5/23,Jilly,A,10:26,AM,3,AM,2,FT,Actor,Y
7/16/24,Vanessa,A,1:56,AM,3,AM3,2,FT,Actor,Y
7/24/23,Jilly,A,10:32,AM,3,AM,3,FT,Actor,Y
8/6/24,Landon,A,10:59,AM,3,AM,3,FT,Actor,Y
7/26/23,Jilly,A,8:00,AM,2,AM,3,TH,Recipient,Y
7/13/23,Anita,A,9:10,AM,3,AM,3,TH,Actor,Y
8/9/24,Bella,A,11:07,AM,3,AM5,3,TH,Actor,Y
8/5/23,Jilly,A,10:36,AM,1,AM,2,TH ,Recipient,Y
7/18/23,Jilly,A,10:08,AM,3,AM,1,TH ,Actor,Y
8/5/23,Jilly,A,11:13,AM ,2,AM,3,CH,Actor,Y
8/10/23,Jilly,A,8:24,AM ,3,AM,2,CH,Actor,Y
8/10/23,Jilly,A,8:24,AM ,3,AM,2,FT,Actor,Y
8/10/23,Jilly,A,10:07,AM ,3,AM,3,FT,Actor,Y
7/29/24,Bella,A,12:30,AM ,3,AM5,3,TH,Actor,Y
8/6/24,Landon,A,10:39,AM3,2,AM,3,DP,Actor,U
8/6/24,Landon,A,10:39,AM3,2,AM,3,TH,Actor,U
7/14/23,Jilly,A,9:46,AM5,3,AM,2,AT,Actor,N
7/17/23,Jilly,A,10:00,AM5,3,AM,1,CH,Actor,N
7/22/23,Anita,A,11:38,AM5,3,AM,2,CH,Actor,U
7/15/24,Landon,A,8:59,AM5,3,AM,2,FT,Actor,U
7/16/24,Landon,A,10:45,AM5,3,AM,2,FT,Recipient,U
7/11/24,Vanessa,A,10:35,AM5,3,AM,3,AT,Actor,Y
7/14/23,Anita,A,10:17,AM5,3,AM,2,CH,Actor,Y
7/22/23,Anita,A,10:35,AM5,3,AM,2,CH,Actor,Y
7/17/23,Jilly,A,9:49,AM5,3,AM,2,CH,Actor,Y
8/10/24,Landon,A,9:43,AM5,3,AM3,2,CH,Actor,Y
8/6/24,Landon,A,10:23,AM5,2,AM,2,TH,Actor,Y
7/13/23,Anita,A,11:20,AM5,3,AM,2,TH,Actor,Y
7/17/23,Jilly,A,9:49,AM5,3,AM,2,TH,Actor,Y
8/10/24,Landon,A,9:40,AM5,3,AM3,2,TH,Actor,Y
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y
7/14/23,Anita,A,11:05,AM5,3,AM,2,TH,Recipient,Y
