Date,Observer,Group,Focal ID,Focal Fatness,Time,NN ID,NN Fatness,,,,,,,,,,,,,,,,,,
7/16/24,Anita,A,Marcey,3,9:02 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/16/24,Anita,A,Marcey,3,9:03 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/10/23,Jilly,A,AM,3,11:11am,,2,,,,,,,,,,,,,,,,,,
7/10/23,Jilly,A,AM,2,11:46am,,3,,,,,,,,,,,,,,,,,,
7/14/23,Jilly,A,AM,3,9:30am,AM5,3,,,,,,,,,,,,,,,,,,
7/14/23,Jilly,A,AM,3,9:31am,AM5,3,,,,,,,,,,,,,,,,,,
7/20/23,Jilly,A,AM,3,8:36am,,3,,,,,,,,,,,,,,,,,,
7/24/23,Jilly,A,AM,2,11:24am,,3,,,,,,,,,,,,,,,,,,
7/26/23,Jilly,A,AM-holes,3,8:58am,,3,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,1:57pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,1:58pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,1:59pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:00pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:01pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:02pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:03pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:04pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM-tear,2,2:05pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,1,2:06pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,1,2:07pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,1,2:09pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,1,2:10pm,,2,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,2,2:24pm,,1,,,,,,,,,,,,,,,,,,
7/27/23,Jilly,A,AM,2,2:25pm,,1,,,,,,,,,,,,,,,,,,
7/29/23,Jilly,A,AM,1,9:41am,AM5,3,,,,,,,,,,,,,,,,,,
7/29/23,Jilly,A,AM,1,9:42am,AM5,3,,,,,,,,,,,,,,,,,,
7/29/23,Jilly,A,AM,1,9:46am,AM5,3,,,,,,,,,,,,,,,,,,
7/29/23,Jilly,A,AM-scar,2,10:35am,,3,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,8:37am,,2,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,8:38am,,2,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,8:39am,,2,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,8:40am,,2,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,11:07am,,2,,,,,,,,,,,,,,,,,,
8/5/23,Jilly,A,AM,1,11:09am,,2,,,,,,,,,,,,,,,,,,
8/10/23,Jilly,A,AM,3,9:13am,,2,,,,,,,,,,,,,,,,,,
8/10/23,Jilly,A,AM,2,9:20am,,2,,,,,,,,,,,,,,,,,,
8/10/23,Jilly,A,AM,2,9:21am,,2,,,,,,,,,,,,,,,,,,
8/10/23,Jilly,A,AM,2,9:31am,,1,,,,,,,,,,,,,,,,,,
7/17/23,Jacob,A,AM,1,8:44am,,1,,,,,,,,,,,,,,,,,,
7/24/23,Jacob,A,AM,2,8:21am,,3,,,,,,,,,,,,,,,,,,
7/24/23,Jacob,A,AM,2,8:22am,,3,,,,,,,,,,,,,,,,,,
7/24/23,Jacob,A,AM,2,8:23am,,3,,,,,,,,,,,,,,,,,,
8/4/23,Jacob,A,AM,1,9:50am,AM-scar,2,,,,,,,,,,,,,,,,,,
8/4/23,Jacob,A,AM,1,9:51am,AM-scar,2,,,,,,,,,,,,,,,,,,
8/5/23,Jacob,A,AM-holes,3,9:36am,,3,,,,,,,,,,,,,,,,,,
8/5/23,Jacob,A,AM-holes,3,9:39am,,3,,,,,,,,,,,,,,,,,,
8/5/23,Jacob,A,AM-holes,3,9:40am,,3,,,,,,,,,,,,,,,,,,
8/12/23,Jacob,A,AM,2,10:02am,,2,,,,,,,,,,,,,,,,,,
8/12/23,Jacob,A,AM,2,10:03am,,2,,,,,,,,,,,,,,,,,,
7/10/24,Bella,A,AM3,2,10:19 AM,AM7,3,,,,,,,,,,,,,,,,,,
7/11/24,Bella,A,Marcey,3,9:59 AM,,2,,,,,,,,,,,,,,,,,,
7/11/24,Bella,A,AM5,3,10:26 AM,,3,,,,,,,,,,,,,,,,,,
7/11/24,Bella,A,AM5,3,10:27 AM,,3,,,,,,,,,,,,,,,,,,
7/11/24,Bella,A,AM3,2,11:53 AM,AM7,3,,,,,,,,,,,,,,,,,,
