STATE,MARIJUANA LEGALIZATION STATUS
Alabama,Medical only
Alaska,Recreational legalized
Arizona,Recreational legalized
Arkansas,Medical only
California,Recreational legalized
Colorado,Recreational legalized
Connecticut,Recreational legalized
Delaware,Recreational legalized
District of Columbia,Recreational legalized
Florida,Medical only
Georgia,Medical CBD oil only
Hawaii,Medical only
Idaho,Illegal
Illinois,Recreational legalized
Indiana,Medical CBD oil only
Iowa,Medical CBD oil only
Kansas,Illegal
Kentucky,"Medical only effective Jan. 1, 2025"
Louisiana,Medical only
Maine,Recreational legalized
Maryland,Recreational legalized
Massachusetts,Recreational legalized
Michigan,Recreational legalized
Minnesota,Recreational legalized
Mississippi,Medical only
Missouri,Recreational legalized
Montana,Recreational legalized
Nebraska,Illegal
Nevada,Recreational legalized
New Hampshire,Medical only
New Jersey,Recreational legalized
New Mexico,Recreational legalized
New York,Recreational legalized
North Carolina,Illegal
North Dakota,Medical only
Ohio,Medical only
Oklahoma,Medical only
Oregon,Recreational legalized
Pennsylvania,Medical only
Rhode Island,Recreational legalized
South Carolina,Illegal
South Dakota,Medical only
Tennessee,Medical CBD oil only
Texas,Medical CBD oil only
Utah,Medical only
Vermont,Recreational legalized
Virginia,Recreational legalized
Washington,Recreational legalized
West Virginia,Medical only
Wisconsin,Medical CBD oil only
Wyoming,Illegal
