id,latitude,longitude,scientific_name,common_name
33472,34.2898782838,-118.8216876984,Lynx rufus,Bobcat
123818,34.1177292318,-119.0788954496,Lynx rufus,Bobcat
338504,34.688036,-119.358856,Lynx rufus,Bobcat
584954,34.1566666667,-118.9631666667,Lynx rufus,Bobcat
585550,34.0232620988,-118.9565745435,Lynx rufus,Bobcat
716034,34.1497268677,-118.9611053467,Lynx rufus,Bobcat
732282,34.15027,-118.96273,Lynx rufus,Bobcat
1097005,34.073511,-119.009067,Lynx rufus,Bobcat
1587375,34.1575278333,-118.9669633333,Lynx rufus,Bobcat
1652303,34.150321,-118.9612,Lynx rufus,Bobcat
1774034,34.3647,-118.9927533333,Lynx rufus,Bobcat
1836189,34.151,-118.9615633333,Lynx rufus,Bobcat
2576083,34.280738,-119.307415,Lynx rufus,Bobcat
2744002,34.192352,-118.885374,Lynx rufus,Bobcat
3064429,34.1657076124,-119.0449075029,Lynx rufus,Bobcat
3285830,34.143237,-118.831405,Lynx rufus,Bobcat
3675752,34.318856,-119.293798,Lynx rufus,Bobcat
4035330,34.1660591933,-119.0591812134,Lynx rufus,Bobcat
4348915,34.2863173655,-119.2811258578,Lynx rufus,Bobcat
4494927,34.3110360252,-119.0965352488,Lynx rufus,Bobcat
4588643,34.68808,-119.359075,Lynx rufus,Bobcat
4588682,34.3096416667,-119.0965383333,Lynx rufus,Bobcat
4612091,34.6122511563,-119.2750547112,Lynx rufus,Bobcat
4748178,34.2630197562,-118.637771308,Lynx rufus,Bobcat
4911230,34.3192863464,-119.1990814209,Lynx rufus,Bobcat
5012289,34.3501815796,-119.3020401001,Lynx rufus,Bobcat
5161105,34.2822647095,-119.3068313599,Lynx rufus,Bobcat
5400377,34.3057327271,-119.1998443604,Lynx rufus,Bobcat
6047823,34.4487,-119.224944,Lynx rufus,Bobcat
6582284,34.2747039795,-118.9570388794,Lynx rufus,Bobcat
6828271,34.3075113648,-119.282516688,Lynx rufus,Bobcat
7042553,34.402175,-118.7009116667,Lynx rufus,Bobcat
7610558,34.3415298462,-119.0663070679,Lynx rufus,Bobcat
7822071,34.34321011,-119.06421953,Lynx rufus,Bobcat
9372463,34.4450116667,-119.2869416667,Lynx rufus,Bobcat
9373507,34.2866477966,-118.8227615356,Lynx rufus,Bobcat
9440616,34.2848472595,-118.8228683472,Lynx rufus,Bobcat
9574536,34.4451424324,-119.2869909539,Lynx rufus,Bobcat
11376869,34.3561706543,-119.2677078247,Lynx rufus,Bobcat
12294108,34.2040037852,-118.9701758969,Lynx rufus,Bobcat
12500485,34.2899936183,-118.7589580764,Lynx rufus,Bobcat
12973621,34.3558283333,-119.0163027833,Lynx rufus,Bobcat
13337987,34.35781718,-119.27039294,Lynx rufus,Bobcat
13719593,34.1252555,-119.1639861667,Lynx rufus,Bobcat
13741747,34.461969506,-118.8572425163,Lynx rufus,Bobcat
13775743,34.3458480835,-119.4162216187,Lynx rufus,Bobcat
14451299,34.1203,-118.9318,Lynx rufus,Bobcat
14470106,34.3618883333,-119.0158777833,Lynx rufus,Bobcat
14695440,34.3332366943,-119.3836975098,Lynx rufus,Bobcat
15205166,34.3760393908,-118.9718196317,Lynx rufus,Bobcat
16353386,34.45943,-118.853855,Lynx rufus,Bobcat
16811323,34.4564083333,-118.849425,Lynx rufus,Bobcat
17107006,34.2434672376,-119.1923420142,Lynx rufus,Bobcat
17398313,34.1557655334,-118.9094009399,Lynx rufus,Bobcat
17586766,34.68742,-119.3589033333,Lynx rufus,Bobcat
18105117,34.348105,-119.0518195,Lynx rufus,Bobcat
18182735,34.6959616667,-119.2713916667,Lynx rufus,Bobcat
18563357,34.3971190456,-119.3184551881,Lynx rufus,Bobcat
18896502,34.1806983948,-118.798286438,Lynx rufus,Bobcat
