id,latitude,longitude,scientific_name,common_name
60694,34.4555802574,-118.9314651489,Canis latrans,Coyote
65008,34.2511635448,-118.6970561743,Canis latrans,Coyote
123772,34.1150697201,-119.0792609006,Canis latrans,Coyote
123834,34.1535950785,-119.0720383823,Canis latrans,Coyote
236000,34.1481810225,-118.9542210102,Canis latrans,Coyote
411861,34.2645,-118.9758333333,Canis latrans,Coyote
446213,34.406704,-119.287521,Canis latrans,Coyote
546591,34.154892,-118.963165,Canis latrans,Coyote
1111253,34.129536,-119.038035,Canis latrans,Coyote
1839002,34.1203,-118.9318,Canis latrans,Coyote
2803325,34.425225542,-119.3028976211,Canis latrans,Coyote
3064436,34.1657665791,-119.0451804177,Canis latrans,Coyote
3635868,34.1502111667,-118.9614866667,Canis latrans,Coyote
4335696,34.869788,-119.3134,Canis latrans,Coyote
4588639,34.68808,-119.359075,Canis latrans,Coyote
4588684,34.30833,-119.097655,Canis latrans,Coyote
4633392,34.2781189406,-119.3027860969,Canis latrans,Coyote
4911225,34.3192863464,-119.1990814209,Canis latrans,Coyote
4969917,34.2823066711,-119.3087844849,Canis latrans,Coyote
5017499,34.304237,-119.283787,Canis latrans,Coyote
5017525,34.294948,-119.288658,Canis latrans,Coyote
5515369,34.3327216667,-118.8757033333,Canis latrans,Coyote
5916621,34.2303,-118.696384,Canis latrans,Coyote
6074739,34.185070074,-118.7077749058,Canis latrans,Coyote
7247767,34.1758766174,-118.9166412354,Canis latrans,Coyote
7820429,34.34194372,-119.06562034,Canis latrans,Coyote
8198843,34.1827888489,-118.7271652222,Canis latrans,Coyote
8268442,34.1752789021,-118.9259220287,Canis latrans,Coyote
9251544,34.1430549622,-118.9019470215,Canis latrans,Coyote
9377456,34.221825,-118.6934583333,Canis latrans,Coyote
9509585,34.3669650641,-118.9966611354,Canis latrans,Coyote
10177655,34.3695,-118.97882,Canis latrans,Coyote
10720541,34.2265178795,-119.2588461522,Canis latrans,Coyote
11096739,34.4641375007,-119.1807549842,Canis latrans,Coyote
11516289,34.31200377,-119.18722512,Canis latrans,Coyote
12114274,34.2055363026,-118.6875802849,Canis latrans,Coyote
12360788,34.35928,-118.9440533333,Canis latrans,Coyote
12386329,34.3740101645,-118.9729549707,Canis latrans,Coyote
12500405,34.292972676,-118.7574668774,Canis latrans,Coyote
14553179,34.0851778333,-119.0306166667,Canis latrans,Coyote
15271457,34.35267195,-119.32902576,Canis latrans,Coyote
16047981,34.2338669981,-119.2649857088,Canis latrans,Coyote
16320107,34.4078416667,-119.344825,Canis latrans,Coyote
17143078,34.4450416667,-119.1348945,Canis latrans,Coyote
17586372,34.1809966667,-118.744705,Canis latrans,Coyote
18105036,34.3488283333,-119.0523916667,Canis latrans,Coyote
18778831,34.3102517034,-119.0971740335,Canis latrans,Coyote
18891074,34.1717355544,-118.7238698825,Canis latrans,Coyote
19154024,34.1696279182,-118.722236364,Canis latrans,Coyote
19362493,34.24248,-118.6760033333,Canis latrans,Coyote
19422640,34.4488866667,-119.1400528333,Canis latrans,Coyote
19457327,34.3087666667,-119.0965361667,Canis latrans,Coyote
19579779,34.4340333333,-119.1349333333,Canis latrans,Coyote
19583714,34.2860565186,-118.8263549805,Canis latrans,Coyote
19910079,34.2834014893,-118.8265075684,Canis latrans,Coyote
19919681,34.3086583333,-119.0964361667,Canis latrans,Coyote
19930790,34.41845964,-118.94780873,Canis latrans,Coyote
19934214,34.1553,-118.9734033333,Canis latrans,Coyote
20017908,34.1538505554,-118.964012146,Canis latrans,Coyote
20196881,34.2246009017,-118.7079758948,Canis latrans,Coyote
20198188,34.2836265564,-118.8240280151,Canis latrans,Coyote
20198324,34.2836341858,-118.8255386353,Canis latrans,Coyote
20212070,34.38943,-118.9164283333,Canis latrans,Coyote
20306835,34.28395917,-118.82576106,Canis latrans,Coyote
20442300,34.3095366667,-119.0966638333,Canis latrans,Coyote
20465707,34.4098366667,-119.201425,Canis latrans,Coyote
20492085,34.283996582,-118.8261260986,Canis latrans,Coyote
20513085,34.446945,-119.1368945,Canis latrans,Coyote
20704260,34.5575133333,-119.2430416667,Canis latrans,Coyote
20704327,34.5576583333,-119.2422716667,Canis latrans,Coyote
20721252,34.4275383333,-119.299545,Canis latrans,Coyote
20878569,34.1229775201,-119.1090296637,Canis latrans,Coyote
20944073,34.099188994,-119.1100951191,Canis latrans,Coyote
21053196,34.5576436026,-119.242395619,Canis latrans,Coyote
21099207,34.2425564869,-118.6770602828,Canis latrans,Coyote
21269842,34.1229866119,-119.1090585642,Canis latrans,Coyote
21357090,34.3491866667,-119.0494305,Canis latrans,Coyote
22237936,34.6879366667,-119.3587283333,Canis latrans,Coyote
22579664,34.3940471192,-119.3107561818,Canis latrans,Coyote
24443972,34.399996,-119.3001134,Canis latrans,Coyote
25983670,34.196323,-118.702172,Canis latrans,Coyote
25983671,34.197488,-118.703341,Canis latrans,Coyote
25983672,34.197199932,-118.703113072,Canis latrans,Coyote
25983673,34.197199932,-118.703113072,Canis latrans,Coyote
25983675,34.197199932,-118.703113072,Canis latrans,Coyote
25983676,34.197199932,-118.703113072,Canis latrans,Coyote
25983678,34.195731,-118.702226,Canis latrans,Coyote
25985358,34.2136386543,-118.6894521879,Canis latrans,Coyote
26011329,34.2113185483,-118.6911741661,Canis latrans,Coyote
26026526,34.429825,-119.2721633333,Canis latrans,Coyote
26114572,34.0727615883,-118.8750390278,Canis latrans,Coyote
26451598,34.24345,-119.1912383333,Canis latrans,Coyote
26817973,34.2120682645,-118.6922631429,Canis latrans,Coyote
27419562,34.1708892825,-118.7030192058,Canis latrans,Coyote
27419578,34.1841677431,-118.7021179836,Canis latrans,Coyote
27610055,34.0965606912,-119.0577845274,Canis latrans,Coyote
30199311,34.0268959583,-118.9593969278,Canis latrans,Coyote
30199313,34.1734499036,-118.9337294019,Canis latrans,Coyote
30732479,34.1751324712,-118.7062585704,Canis latrans,Coyote
30732546,34.1756827956,-118.7051642291,Canis latrans,Coyote
31066592,34.1755940338,-118.7049925677,Canis latrans,Coyote
31889289,34.1790818874,-118.9875587385,Canis latrans,Coyote
32593308,34.2128006961,-118.6903664865,Canis latrans,Coyote
32730798,34.3488773442,-119.2635594197,Canis latrans,Coyote
33894625,34.0676042061,-118.9627059545,Canis latrans,Coyote
34484857,34.1794470339,-119.037472651,Canis latrans,Coyote
35217457,34.1903986558,-118.8582570037,Canis latrans,Coyote
35217458,34.1387827682,-118.8883225741,Canis latrans,Coyote
35217459,34.1254196436,-118.9573908959,Canis latrans,Coyote
35351018,34.1988239579,-118.9026896801,Canis latrans,Coyote
35370213,34.1802421866,-118.9875049611,Canis latrans,Coyote
35664176,34.690306176,-119.3557314571,Canis latrans,Coyote
35878229,34.6881022033,-119.3591404013,Canis latrans,Coyote
35917054,34.0377588662,-118.9699570308,Canis latrans,Coyote
36476626,34.1643804652,-119.0342064122,Canis latrans,Coyote
36633198,34.3482605201,-119.2609903586,Canis latrans,Coyote
36633207,34.3480974496,-119.2611032013,Canis latrans,Coyote
36653105,34.3495666667,-119.05285,Canis latrans,Coyote
36694203,34.3090166667,-119.0966805,Canis latrans,Coyote
36792645,34.3088716667,-119.0972971667,Canis latrans,Coyote
37066612,34.3491633333,-119.0495611667,Canis latrans,Coyote
37227922,34.1798684107,-118.7075813294,Canis latrans,Coyote
37341993,34.30867,-119.0968388333,Canis latrans,Coyote
37342243,34.3087,-119.0968083333,Canis latrans,Coyote
37728454,34.4313966667,-119.1354528333,Canis latrans,Coyote
37771372,34.87618833,-119.33997167,Canis latrans,Coyote
37794959,34.4064,-119.3470466667,Canis latrans,Coyote
38134617,34.0384275538,-118.8397349088,Canis latrans,Coyote
38198800,34.2185060473,-118.9141869844,Canis latrans,Coyote
38871430,34.1106963264,-118.9135378056,Canis latrans,Coyote
39091603,34.183822727,-118.9743471232,Canis latrans,Coyote
39132988,34.3491466667,-119.052375,Canis latrans,Coyote
39299332,34.1803648764,-118.9873318329,Canis latrans,Coyote
40117038,34.399996,-119.3001134,Canis latrans,Coyote
40436074,34.1549260171,-118.9781332401,Canis latrans,Coyote
40436210,34.1544818162,-118.9785295458,Canis latrans,Coyote
41227394,34.228318302,-119.0889122567,Canis latrans,Coyote
41787563,34.2277171949,-119.2630300134,Canis latrans,Coyote
41896124,34.0943580955,-118.9980652055,Canis latrans,Coyote
42130077,34.306095,-119.25450833,Canis latrans,Coyote
42536662,34.25764167,-119.206275,Canis latrans,Coyote
51134395,34.182645231,-118.6703476778,Canis latrans,Coyote
52168043,34.2921976732,-119.2876073476,Canis latrans,Coyote
52420945,34.1795748844,-118.9869199247,Canis latrans,Coyote
53789635,34.2334595114,-118.7664571688,Canis latrans,Coyote
55329058,34.23652,-118.765495,Canis latrans,Coyote
56351097,34.1747687789,-118.9938638461,Canis latrans,Coyote
56479650,34.2513896052,-118.8641533094,Canis latrans,Coyote
56705434,34.1795632171,-118.9871490158,Canis latrans,Coyote
56769451,34.2371530562,-118.8378475008,Canis latrans,Coyote
58080738,34.43870333,-118.739655,Canis latrans,Coyote
58257221,34.2460777778,-119.0450583333,Canis latrans,Coyote
58720748,34.27326167,-119.19605333,Canis latrans,Coyote
58916688,34.2451632194,-119.258899885,Canis latrans,Coyote
58931614,34.4461961638,-119.2940859815,Canis latrans,Coyote
59034174,34.3111211808,-119.1000831481,Canis latrans,Coyote
59100965,34.6996297013,-119.2416981736,Canis latrans,Coyote
60419196,34.2269509722,-118.930659,Canis latrans,Coyote
61223065,34.2989583333,-119.1984055556,Canis latrans,Coyote
62671466,34.1756916674,-118.7051578235,Canis latrans,Coyote
63353740,34.3,-119.06,Canis latrans,Coyote
64487024,34.4351389722,-119.2973669722,Canis latrans,Coyote
64800747,34.2286509991,-119.075067275,Canis latrans,Coyote
64830651,34.6903588678,-119.2949190689,Canis latrans,Coyote
64834131,34.688348082,-119.3590095314,Canis latrans,Coyote
64834136,34.6883039725,-119.3590309891,Canis latrans,Coyote
64834146,34.6882919557,-119.3590041676,Canis latrans,Coyote
64873372,34.42855,-119.1311861667,Canis latrans,Coyote
64873452,34.4286216667,-119.1311195,Canis latrans,Coyote
64887563,34.4591003366,-119.2963557818,Canis latrans,Coyote
65243435,34.7161584525,-119.3989143831,Canis latrans,Coyote
65380927,34.6871475343,-119.3580782008,Canis latrans,Coyote
65508020,34.4215,-118.7825722222,Canis latrans,Coyote
65595881,34.2141577389,-118.9415609837,Canis latrans,Coyote
66259745,34.1780772547,-118.7673024907,Canis latrans,Coyote
66271405,34.2620401667,-119.2630206111,Canis latrans,Coyote
66402232,34.2411638889,-118.7291638889,Canis latrans,Coyote
66408499,34.1533056903,-118.9558681726,Canis latrans,Coyote
67320146,34.1548566218,-118.970513945,Canis latrans,Coyote
67320349,34.15435,-118.9715833333,Canis latrans,Coyote
67436568,34.1538503229,-118.9698280203,Canis latrans,Coyote
67558338,34.3006364462,-119.200091064,Canis latrans,Coyote
68181082,34.0989903643,-118.9807830465,Canis latrans,Coyote
68873624,34.1764716667,-118.95928,Canis latrans,Coyote
68921175,34.1458556111,-118.9595278405,Canis latrans,Coyote
68924006,34.3073383333,-119.1037611667,Canis latrans,Coyote
69035791,34.4796833333,-118.7706383333,Canis latrans,Coyote
69036359,34.4784283421,-118.769525,Canis latrans,Coyote
69268585,34.1010866733,-118.9845963579,Canis latrans,Coyote
69690734,34.2184697282,-118.9169312552,Canis latrans,Coyote
70176942,34.1521451534,-118.9568827674,Canis latrans,Coyote
70176978,34.228608908,-118.9315395802,Canis latrans,Coyote
70744753,34.2855155032,-119.2924563759,Canis latrans,Coyote
70840041,34.228620406,-119.0753383148,Canis latrans,Coyote
71047894,34.224975,-119.00678333,Canis latrans,Coyote
71344214,34.4465466667,-119.289245,Canis latrans,Coyote
72487808,34.3258083333,-118.867675,Canis latrans,Coyote
72944582,34.180078,-118.7265199722,Canis latrans,Coyote
73268323,34.1786452981,-118.9862319797,Canis latrans,Coyote
73590521,34.2981672319,-119.1990855709,Canis latrans,Coyote
74249675,34.207467,-118.949201,Canis latrans,Coyote
75324844,34.263942,-118.6338539722,Canis latrans,Coyote
75352464,34.2642668017,-118.6560503694,Canis latrans,Coyote
75737328,34.213405,-118.9324866667,Canis latrans,Coyote
76746296,34.5842889637,-119.3303955755,Canis latrans,Coyote
77052271,34.1858241197,-119.1258134055,Canis latrans,Coyote
77312075,34.2769317627,-118.8870010376,Canis latrans,Coyote
77441640,34.2281333509,-119.0759272724,Canis latrans,Coyote
77460218,34.154685674,-118.9486405308,Canis latrans,Coyote
78927511,34.1115694364,-118.9264588058,Canis latrans,Coyote
79347834,34.2878332205,-119.3807646116,Canis latrans,Coyote
79552438,34.1540143637,-118.9753893356,Canis latrans,Coyote
81110298,34.1760033333,-118.7612,Canis latrans,Coyote
81631478,34.205146294,-118.6793302136,Canis latrans,Coyote
81764270,34.1754861111,-118.6870083333,Canis latrans,Coyote
83811076,34.180617946,-118.9854919353,Canis latrans,Coyote
83960086,34.1829676736,-118.9860981895,Canis latrans,Coyote
83960087,34.1829676736,-118.9860981895,Canis latrans,Coyote
84095255,34.171757,-118.8810345,Canis latrans,Coyote
84557157,34.1558221667,-118.95717,Canis latrans,Coyote
85020279,34.1817196946,-118.9823631017,Canis latrans,Coyote
85647848,34.2549466667,-118.847305,Canis latrans,Coyote
86132126,34.15911,-118.808008,Canis latrans,Coyote
86239303,34.1525888315,-118.9576767773,Canis latrans,Coyote
87184200,34.438195,-119.2750033333,Canis latrans,Coyote
87959025,34.1797887939,-118.9870955929,Canis latrans,Coyote
88350831,34.5071642721,-118.7622435983,Canis latrans,Coyote
89810780,34.179182519,-118.9865758883,Canis latrans,Coyote
90858917,34.1589107006,-118.8078607293,Canis latrans,Coyote
93407263,34.6957783333,-119.2725916667,Canis latrans,Coyote
93635321,34.1500075883,-118.9599911397,Canis latrans,Coyote
94494863,34.1738992147,-118.7044174563,Canis latrans,Coyote
95549280,34.4448201,-119.285582,Canis latrans,Coyote
96187469,34.125078429,-119.0036906675,Canis latrans,Coyote
97088969,34.2219203273,-118.9088534772,Canis latrans,Coyote
98166317,34.4385028698,-118.7348166481,Canis latrans,Coyote
98490031,34.6964367894,-119.2704374102,Canis latrans,Coyote
99285161,34.2057616667,-118.9986116667,Canis latrans,Coyote
99296706,34.2842472222,-119.2751305556,Canis latrans,Coyote
99901812,34.423901,-119.0751759722,Canis latrans,Coyote
99922672,34.1557253872,-118.9699904149,Canis latrans,Coyote
100165930,34.19505,-118.9620533333,Canis latrans,Coyote
100280006,34.4290216667,-119.0823233333,Canis latrans,Coyote
100448307,34.2058687702,-118.9410165922,Canis latrans,Coyote
100609269,34.1604376166,-119.0411143565,Canis latrans,Coyote
100639883,34.423345652,-119.0831443731,Canis latrans,Coyote
100639890,34.4238968422,-119.0753722257,Canis latrans,Coyote
101005462,34.15117332,-118.95761468,Canis latrans,Coyote
101677850,34.4236371975,-119.0787695386,Canis latrans,Coyote
101677853,34.4237181576,-119.0787051656,Canis latrans,Coyote
101677858,34.4237358576,-119.078812454,Canis latrans,Coyote
101677861,34.4237535576,-119.0787695386,Canis latrans,Coyote
101677865,34.4238774574,-119.078748081,Canis latrans,Coyote
101683976,34.295005,-118.9166116667,Canis latrans,Coyote
101988059,34.2135277778,-118.9318916667,Canis latrans,Coyote
102306553,34.2834466667,-118.74357,Canis latrans,Coyote
102424141,34.2896123592,-118.8216876984,Canis latrans,Coyote
102615061,34.2734215658,-118.8712303125,Canis latrans,Coyote
102630505,34.249683,-119.073448,Canis latrans,Coyote
102705854,34.183360637,-119.2124885387,Canis latrans,Coyote
102717546,34.1800812342,-118.987032477,Canis latrans,Coyote
102779976,34.4808401384,-118.7609663068,Canis latrans,Coyote
102794320,34.176171,-119.032564,Canis latrans,Coyote
102902184,34.1543144689,-118.9728653652,Canis latrans,Coyote
103273190,34.1516233333,-118.956945,Canis latrans,Coyote
103273371,34.1462183333,-118.964555,Canis latrans,Coyote
103274067,34.2999222222,-119.1992194444,Canis latrans,Coyote
103460876,34.4494239518,-118.9036591182,Canis latrans,Coyote
103498452,34.4464826967,-119.2968634958,Canis latrans,Coyote
103727465,34.0972544785,-118.9133255913,Canis latrans,Coyote
103735600,34.1779316686,-118.9339950233,Canis latrans,Coyote
103762007,34.1571172407,-118.9720535876,Canis latrans,Coyote
104015138,34.4591498196,-119.1056059253,Canis latrans,Coyote
104561837,34.1740760803,-118.7748413086,Canis latrans,Coyote
104837671,34.4346383333,-119.1331111667,Canis latrans,Coyote
104837839,34.427825,-119.1349333333,Canis latrans,Coyote
105175720,34.4464902632,-119.2941442083,Canis latrans,Coyote
105250587,34.1843769722,-118.887933,Canis latrans,Coyote
105270003,34.176,-118.9388999444,Canis latrans,Coyote
105299782,34.1556916667,-118.9733666667,Canis latrans,Coyote
106125122,34.1524620276,-118.9556404726,Canis latrans,Coyote
106418127,34.1848531087,-118.7622396128,Canis latrans,Coyote
106822117,34.431984,-119.13547,Canis latrans,Coyote
106822725,34.430265,-119.135627,Canis latrans,Coyote
107018970,34.1530222394,-118.9811582062,Canis latrans,Coyote
107132780,34.43004,-119.135444,Canis latrans,Coyote
107198177,34.2854083333,-118.7575,Canis latrans,Coyote
108159818,34.1520947542,-118.9831314253,Canis latrans,Coyote
109200082,34.439697117,-119.3268314133,Canis latrans,Coyote
109938877,34.2383466667,-119.26307,Canis latrans,Coyote
110211129,34.2117756029,-118.9471944842,Canis latrans,Coyote
110818450,34.2448756814,-118.8360249006,Canis latrans,Coyote
110818451,34.2447966256,-118.8361644893,Canis latrans,Coyote
111475394,34.4244833039,-119.0679942979,Canis latrans,Coyote
111475396,34.4244810914,-119.0679889335,Canis latrans,Coyote
111475397,34.424474454,-119.0679782047,Canis latrans,Coyote
111613212,34.3036834193,-119.2862337858,Canis latrans,Coyote
112054774,34.1790053809,-118.986595653,Canis latrans,Coyote
112299353,34.4469655591,-119.2960488941,Canis latrans,Coyote
113169678,34.2373393896,-118.8041231204,Canis latrans,Coyote
113231601,34.1198020758,-118.9171871594,Canis latrans,Coyote
114536562,34.224860826,-118.9008970023,Canis latrans,Coyote
115277156,34.2896702533,-119.163451083,Canis latrans,Coyote
115421020,34.1818083333,-118.7705,Canis latrans,Coyote
115684107,34.1722980379,-118.8104166577,Canis latrans,Coyote
115845158,34.4333366667,-119.0864383333,Canis latrans,Coyote
115861516,34.1723583333,-118.7575833333,Canis latrans,Coyote
116344643,34.1862799519,-118.8382312793,Canis latrans,Coyote
117765997,34.1793856115,-118.9869972681,Canis latrans,Coyote
118074288,34.1802956332,-118.9868107763,Canis latrans,Coyote
118237589,34.2834565,-118.870799,Canis latrans,Coyote
121924645,34.4474104505,-119.2891752089,Canis latrans,Coyote
122099503,34.179865162,-118.9867941625,Canis latrans,Coyote
122545218,34.234336607,-119.0562687449,Canis latrans,Coyote
122584846,34.234196141,-119.0563588019,Canis latrans,Coyote
122717022,34.177805,-118.68032,Canis latrans,Coyote
123373756,34.4239190763,-119.0753979279,Canis latrans,Coyote
123373757,34.4239265436,-119.0754006102,Canis latrans,Coyote
123373758,34.4239254374,-119.075399269,Canis latrans,Coyote
123373763,34.4239320748,-119.0753939046,Canis latrans,Coyote
123687599,34.295092891,-118.671584325,Canis latrans,Coyote
123989343,34.4011356612,-119.2917520982,Canis latrans,Coyote
125061172,34.2030033333,-118.9158083333,Canis latrans,Coyote
127797573,34.3145869811,-118.8739887381,Canis latrans,Coyote
128390459,34.1544491305,-118.9626190066,Canis latrans,Coyote
128730077,34.1653962025,-119.0342669356,Canis latrans,Coyote
129037629,34.1708616667,-118.8120883333,Canis latrans,Coyote
130532957,34.1498906566,-118.9586178487,Canis latrans,Coyote
130533015,34.1498906566,-118.9586178487,Canis latrans,Coyote
131527624,34.1789036985,-118.9866742355,Canis latrans,Coyote
131962188,34.2429596631,-118.836833638,Canis latrans,Coyote
131962189,34.2429196982,-118.8369640604,Canis latrans,Coyote
132403436,34.2832366667,-118.7526166667,Canis latrans,Coyote
134369599,34.2530667793,-118.9114268609,Canis latrans,Coyote
135146312,34.179422987,-118.9869839328,Canis latrans,Coyote
135476368,34.1879366667,-118.9112633333,Canis latrans,Coyote
136572930,34.2993233364,-118.8336990038,Canis latrans,Coyote
137204391,34.2428333333,-118.67775,Canis latrans,Coyote
137205579,34.2755916667,-118.7016216667,Canis latrans,Coyote
138277851,34.1498906566,-118.9586178487,Canis latrans,Coyote
138551291,34.1805036702,-118.9865831132,Canis latrans,Coyote
139972922,34.4103490336,-119.3199929314,Canis latrans,Coyote
141217613,34.1526721667,-118.9822,Canis latrans,Coyote
142189948,34.3754791281,-118.9718719098,Canis latrans,Coyote
142366209,34.6956583333,-119.265305,Canis latrans,Coyote
142510670,34.2222802023,-119.2075282772,Canis latrans,Coyote
142789935,34.1754175309,-118.808450259,Canis latrans,Coyote
142790041,34.1697444372,-118.812313882,Canis latrans,Coyote
142850386,34.1517922265,-118.9666513726,Canis latrans,Coyote
142875580,34.4560017296,-119.2946710158,Canis latrans,Coyote
143142370,34.285558,-118.8820414,Canis latrans,Coyote
143193369,34.1803918586,-118.9871442264,Canis latrans,Coyote
143521141,34.0102272947,-118.9517178385,Canis latrans,Coyote
144044178,34.1865096529,-118.7723578889,Canis latrans,Coyote
144205860,34.2627752595,-118.7616780285,Canis latrans,Coyote
144386410,34.4507921867,-119.2886335189,Canis latrans,Coyote
144402923,34.0618114063,-118.8472708004,Canis latrans,Coyote
144421085,34.1400466728,-118.8655632036,Canis latrans,Coyote
144421125,34.1147711027,-118.9682855774,Canis latrans,Coyote
144807814,34.1274629209,-118.9052851389,Canis latrans,Coyote
144861259,34.1474790362,-118.8687741437,Canis latrans,Coyote
145055337,34.1589534057,-118.9853372712,Canis latrans,Coyote
145284996,34.4595866667,-118.891525,Canis latrans,Coyote
145328002,34.1856,-118.6686783333,Canis latrans,Coyote
146060442,34.2415615,-118.7797996,Canis latrans,Coyote
146305116,34.1525778333,-118.9720833333,Canis latrans,Coyote
146305714,34.1528388333,-118.9813133333,Canis latrans,Coyote
146366813,34.1586793463,-118.8080601015,Canis latrans,Coyote
146557494,34.14787914,-118.9613362549,Canis latrans,Coyote
146792216,34.1786533333,-118.6717833333,Canis latrans,Coyote
146792392,34.1809966667,-118.6696166667,Canis latrans,Coyote
146854593,34.186345,-118.7711033333,Canis latrans,Coyote
147245021,34.3680270008,-118.9596312476,Canis latrans,Coyote
147356138,34.22067,-118.8126616667,Canis latrans,Coyote
148574921,34.14772,-118.956308,Canis latrans,Coyote
148787745,34.2652546122,-118.7373824182,Canis latrans,Coyote
148881196,34.3668833333,-118.9880916667,Canis latrans,Coyote
149962034,34.2129823633,-118.832543874,Canis latrans,Coyote
151061191,34.68534,-119.3597766667,Canis latrans,Coyote
151549996,34.1504927778,-118.9619566667,Canis latrans,Coyote
151573189,34.3694638889,-118.9900527778,Canis latrans,Coyote
152259454,34.2287057181,-119.0751252111,Canis latrans,Coyote
153253416,34.5219337678,-119.0185676929,Canis latrans,Coyote
153589877,34.1800376059,-118.9896076622,Canis latrans,Coyote
154374080,34.5734689799,-119.3329939005,Canis latrans,Coyote
155187439,34.182337863,-118.7338466472,Canis latrans,Coyote
155806473,34.691105,-119.3035733333,Canis latrans,Coyote
156607476,34.2728533333,-118.8733366667,Canis latrans,Coyote
156615697,34.6916816667,-119.28077,Canis latrans,Coyote
156692184,34.1561437439,-118.961454319,Canis latrans,Coyote
156740117,34.1538666096,-118.9661153678,Canis latrans,Coyote
157158324,34.265527,-118.7318305,Canis latrans,Coyote
157378835,34.1556694444,-118.9534611111,Canis latrans,Coyote
159716478,34.3268634506,-118.8272578152,Canis latrans,Coyote
159754348,34.2479379143,-118.7301917913,Canis latrans,Coyote
161816489,34.2239839267,-118.9063318165,Canis latrans,Coyote
161876329,34.4413625298,-119.2986248058,Canis latrans,Coyote
161934538,34.0074351228,-118.8140620123,Canis latrans,Coyote
162608261,34.1512887515,-119.1581285603,Canis latrans,Coyote
162783386,34.2117,-118.8049,Canis latrans,Coyote
164260610,34.1503805,-118.9612786,Canis latrans,Coyote
166294538,34.1514898346,-118.9635045408,Canis latrans,Coyote
167792421,34.1531792813,-118.9667783883,Canis latrans,Coyote
169242987,34.1890399735,-118.6414778223,Canis latrans,Coyote
169243411,34.1957231906,-118.6832143565,Canis latrans,Coyote
169243475,34.2669309022,-118.7661816626,Canis latrans,Coyote
169243578,34.1660030683,-118.7102182322,Canis latrans,Coyote
169244046,34.3376590401,-118.7313279418,Canis latrans,Coyote
169244117,34.3700738224,-118.68342371,Canis latrans,Coyote
169244231,34.3125322238,-118.7224070525,Canis latrans,Coyote
169245340,34.3687568906,-118.6254356481,Canis latrans,Coyote
169245891,34.3529297132,-118.6294788514,Canis latrans,Coyote
169246011,34.3735813491,-118.7814769702,Canis latrans,Coyote
169246151,34.332186352,-118.7086603335,Canis latrans,Coyote
169248081,34.2960499342,-118.7063282217,Canis latrans,Coyote
169248198,34.2484414441,-118.6354578487,Canis latrans,Coyote
169249065,34.1834772543,-118.7104938526,Canis latrans,Coyote
169250034,34.1964610554,-118.7121344186,Canis latrans,Coyote
169250096,34.2197407442,-118.7260487263,Canis latrans,Coyote
169250185,34.2432541381,-118.7049973156,Canis latrans,Coyote
169250300,34.2027787189,-118.6679845137,Canis latrans,Coyote
171092276,34.1796134597,-118.9871128873,Canis latrans,Coyote
171689547,34.0990338268,-118.8214111423,Canis latrans,Coyote
171689612,34.1445624508,-119.1935700238,Canis latrans,Coyote
172717952,34.2881026463,-118.7481795692,Canis latrans,Coyote
174504355,34.166690626,-118.8835867749,Canis latrans,Coyote
174504521,34.1883841817,-119.0415711238,Canis latrans,Coyote
174521685,34.3096821745,-118.7643037357,Canis latrans,Coyote
174521723,34.3596047272,-118.7007201752,Canis latrans,Coyote
174521764,34.361766943,-118.606318665,Canis latrans,Coyote
174521913,34.2218670939,-118.7125823051,Canis latrans,Coyote
174522130,34.1740672661,-118.7358430122,Canis latrans,Coyote
174910478,34.2659716667,-118.8781283333,Canis latrans,Coyote
174948749,34.3336942941,-119.2893089659,Canis latrans,Coyote
175615901,34.1708147143,-118.6359109123,Canis latrans,Coyote
175615940,34.0855478577,-118.6091578583,Canis latrans,Coyote
175615975,34.0721294113,-118.7401756339,Canis latrans,Coyote
175616039,34.0590572767,-118.6191145314,Canis latrans,Coyote
176224439,34.2885707,-119.1978842,Canis latrans,Coyote
176347010,34.2285586623,-118.8789374688,Canis latrans,Coyote
177357762,34.1764394325,-118.9593892276,Canis latrans,Coyote
177380968,34.09378113,-118.6246703317,Canis latrans,Coyote
