id,latitude,longitude,scientific_name,common_name
280073,34.539435,-118.899402,Puma concolor,Mountain Lion
498885,34.0146307998,-118.7649904713,Puma concolor,Mountain Lion
1073716,34.4252729416,-119.3012645749,Puma concolor,Mountain Lion
1189675,34.364283,-118.987687,Puma concolor couguar,North American Mountain Lion
1298547,34.401801,-119.362254,Puma concolor,Mountain Lion
2082195,34.354695,-119.015503,Puma concolor couguar,North American Mountain Lion
2821479,34.425606,-119.303064,Puma concolor,Mountain Lion
5017534,34.446556,-119.310219,Puma concolor,Mountain Lion
5104605,34.3413238525,-119.2133712769,Puma concolor,Mountain Lion
5400357,34.3060035706,-119.2028884888,Puma concolor,Mountain Lion
6324764,34.3695,-118.97882,Puma concolor,Mountain Lion
6845862,34.39793,-118.7073966667,Puma concolor,Mountain Lion
7042557,34.40197,-118.6977166667,Puma concolor,Mountain Lion
8216249,34.3059716667,-119.2028666667,Puma concolor couguar,North American Mountain Lion
13415624,34.399975,-118.7133783333,Puma concolor,Mountain Lion
13415626,34.4002,-118.7055133333,Puma concolor,Mountain Lion
13431033,34.3999333333,-118.7145916667,Puma concolor,Mountain Lion
14455591,34.3495178223,-119.339630127,Puma concolor,Mountain Lion
14626227,34.5799416667,-119.260445,Puma concolor,Mountain Lion
16738076,34.4552033333,-118.8489616667,Puma concolor,Mountain Lion
17090459,34.559,-119.1462,Puma concolor,Mountain Lion
18069753,34.39753,-118.7945783333,Puma concolor,Mountain Lion
18259927,34.31095,-119.098525,Puma concolor couguar,North American Mountain Lion
18609618,34.631098,-119.047604,Puma concolor,Mountain Lion
19805520,34.6665314051,-119.0369834442,Puma concolor,Mountain Lion
20304618,34.2845726013,-118.8245162964,Puma concolor,Mountain Lion
20841131,34.2848205566,-118.8218002319,Puma concolor,Mountain Lion
21066884,34.4651616667,-118.88192,Puma concolor,Mountain Lion
21074587,34.282333374,-118.8023223877,Puma concolor,Mountain Lion
21160490,34.2843284607,-118.8106384277,Puma concolor,Mountain Lion
27896535,34.3621716667,-119.015075,Puma concolor,Mountain Lion
38524750,34.324075,-119.2341055556,Puma concolor,Mountain Lion
39210216,34.31913833,-119.365745,Puma concolor,Mountain Lion
41869282,34.454955,-119.32643,Puma concolor,Mountain Lion
42788158,34.5647297733,-118.909698308,Puma concolor,Mountain Lion
44853532,34.4871108275,-118.8060979941,Puma concolor couguar,North American Mountain Lion
44853596,34.5460102936,-118.8271822225,Puma concolor couguar,North American Mountain Lion
55194648,34.446555,-119.1353305,Puma concolor,Mountain Lion
55241151,34.4662494061,-119.222976864,Puma concolor,Mountain Lion
58810287,34.4052430097,-118.8156830416,Puma concolor couguar,North American Mountain Lion
59101866,34.6421217886,-119.3136700405,Puma concolor couguar,North American Mountain Lion
60780759,34.2058973142,-118.9119796528,Puma concolor,Mountain Lion
64834130,34.6883657258,-119.3590202603,Puma concolor,Mountain Lion
64834137,34.6881892878,-119.3590953621,Puma concolor,Mountain Lion
65381135,34.6853856967,-119.3593908376,Puma concolor,Mountain Lion
66544966,34.4020305556,-118.6996,Puma concolor,Mountain Lion
67343044,34.5510874782,-118.8318238956,Puma concolor,Mountain Lion
67343141,34.515547972,-118.9487205887,Puma concolor couguar,North American Mountain Lion
70269009,34.3843438889,-118.7885111111,Puma concolor,Mountain Lion
73895331,34.5619155713,-119.0771261975,Puma concolor,Mountain Lion
87372796,34.5467043298,-118.9158005801,Puma concolor couguar,North American Mountain Lion
91574497,34.4701037849,-118.9876334389,Puma concolor,Mountain Lion
93287246,34.4528138181,-118.9584296771,Puma concolor,Mountain Lion
93287489,34.4295513974,-118.9183029461,Puma concolor couguar,North American Mountain Lion
94619946,34.4135607678,-118.9898301997,Puma concolor couguar,North American Mountain Lion
