Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted (Y/N),Current Employment,Benchmark
County,Ventura County,1990,January,01/1/1990,55522000,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,4000,2024
County,Ventura County,1990,January,01/1/1990,55530000,Real Estate and Rental and Leasing,N,3800,2024
County,Ventura County,1990,January,01/1/1990,60560000,Administrative and Support and Waste and Remediation Services,N,12800,2024
County,Ventura County,1990,January,01/1/1990,60561000,          Administrative and Support Services,N,12300,2024
County,Ventura County,1990,January,01/1/1990,0,Total Nonfarm,N,226600,2024
County,Ventura County,1990,January,01/1/1990,5000000,Total Private,N,183500,2024
County,Ventura County,1990,January,01/1/1990,6000000,Goods Producing,N,52200,2024
County,Ventura County,1990,January,01/1/1990,20238000,Specialty Trade Contractors,N,10400,2024
County,Ventura County,1990,January,01/1/1990,42000000,Retail Trade,N,29000,2024
County,Ventura County,1990,January,01/1/1990,70000000,      Leisure and Hospitality,N,19600,2024
County,Ventura County,1990,January,01/1/1990,80000000,Other Services,N,7400,2024
County,Ventura County,1990,January,01/1/1990,90910000,Federal Government,N,12300,2024
County,Ventura County,1990,January,01/1/1990,1000000,"Total, All Industries",N,239200,2024
County,Ventura County,1990,January,01/1/1990,11000000,Total Farm,N,12600,2024
County,Ventura County,1990,January,01/1/1990,20000000,Construction,N,17700,2024
County,Ventura County,1990,January,01/1/1990,31000000,Durable Goods,N,26600,2024
County,Ventura County,1990,January,01/1/1990,31334000,          Computer and Electronic Product Manufacturing,N,8800,2024
County,Ventura County,1990,January,01/1/1990,7000000,Service-Providing,N,174400,2024
County,Ventura County,1990,January,01/1/1990,40000000,"Trade, Transportation, and Utilities",N,41000,2024
County,Ventura County,1990,January,01/1/1990,55524000,          Insurance Carriers and Related Activities,N,3400,2024
County,Ventura County,1990,January,01/1/1990,60000000,      Professional and Business Services,N,26700,2024
County,Ventura County,1990,January,01/1/1990,60540000,"        Professional, Scientific, and Technical Services",N,11100,2024
County,Ventura County,1990,January,01/1/1990,70720000,        Accommodation and Food Services,N,17100,2024
County,Ventura County,1990,January,01/1/1990,90000000,Government,N,43100,2024
County,Ventura County,1990,January,01/1/1990,90912991,          Federal Government excluding Department of Defense,N,2800,2024
County,Ventura County,1990,January,01/1/1990,90919110,Department of Defense,N,9500,2024
County,Ventura County,1990,January,01/1/1990,10000000,      Mining and Logging,N,1700,2024
County,Ventura County,1990,January,01/1/1990,30000000,Manufacturing,N,32800,2024
County,Ventura County,1990,January,01/1/1990,41000000,Wholesale Trade,N,7300,2024
County,Ventura County,1990,January,01/1/1990,42445000,          Food and Beverage Retailers,N,5600,2024
County,Ventura County,1990,January,01/1/1990,42458000,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",N,3000,2024
County,Ventura County,1990,January,01/1/1990,43000000,"        Transportation, Warehousing, and Utilities",N,4700,2024
County,Ventura County,1990,January,01/1/1990,50000000,      Information,N,7700,2024
County,Ventura County,1990,January,01/1/1990,55520000,        Finance and Insurance,N,7800,2024
County,Ventura County,1990,January,01/1/1990,60550000,Management of Companies and Enterprises,N,2800,2024
County,Ventura County,1990,January,01/1/1990,60561300,Employment Services,N,5200,2024
County,Ventura County,1990,January,01/1/1990,65000000,      Private Education and Health Services,N,17300,2024
County,Ventura County,1990,January,01/1/1990,90940000,Total State and Local Government,N,30800,2024
County,Ventura County,1990,January,01/1/1990,15000000,"     Mining, Logging and Construction",N,19400,2024
County,Ventura County,1990,January,01/1/1990,32000000,Non-durable Goods,N,6200,2024
County,Ventura County,1990,January,01/1/1990,32325000,Chemical Manufacturing,N,600,2024
County,Ventura County,1990,January,01/1/1990,8000000,Private Service Providing,N,131300,2024
County,Ventura County,1990,January,01/1/1990,42455000,General Merchandise Retailers,N,5800,2024
