Area Type,Area Name,Date,Industry Title,Seasonally Adjusted (Y/N),Current Employment
County,Ventura County,01/1/2002,Total Nonfarm,Y,281800
County,Ventura County,01/1/2002,Real Estate and Rental and Leasing,N,4400
County,Ventura County,01/1/2002,      Financial Activities,N,20900
County,Ventura County,01/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,8200
County,Ventura County,01/1/2002,General Merchandise Retailers,N,6000
County,Ventura County,01/1/2002,          Transportation and Warehousing,N,5100
County,Ventura County,01/1/2002,Wholesale Trade,N,11600
County,Ventura County,01/1/2002,          Food and Beverage Retailers,N,6500
County,Ventura County,01/1/2002,"        Transportation, Warehousing, and Utilities",N,5900
County,Ventura County,01/1/2002,Retail Trade,N,34100
County,Ventura County,01/1/2002,      Professional and Business Services,N,40200
County,Ventura County,01/1/2002,          Insurance Carriers and Related Activities,N,7400
County,Ventura County,01/1/2002,      Information,N,8600
County,Ventura County,01/1/2002,        Finance and Insurance,N,16500
County,Ventura County,01/1/2002,Specialty Trade Contractors,N,10900
County,Ventura County,01/1/2002,Service-Providing,N,228800
County,Ventura County,01/1/2002,"Trade, Transportation, and Utilities",N,51600
County,Ventura County,01/1/2002,      Mining and Logging,N,600
County,Ventura County,01/1/2002,Manufacturing,N,34000
County,Ventura County,01/1/2002,Chemical Manufacturing,N,2700
County,Ventura County,01/1/2002,Durable Goods,N,25300
County,Ventura County,01/1/2002,          Computer and Electronic Product Manufacturing,N,11100
County,Ventura County,01/1/2002,Construction,N,15300
County,Ventura County,01/1/2002,"     Mining, Logging and Construction",N,15900
County,Ventura County,01/1/2002,Non-durable Goods,N,8700
County,Ventura County,01/1/2002,Private Service Providing,N,182900
County,Ventura County,01/1/2002,State Government Excluding Education,N,1600
County,Ventura County,01/1/2002,Total State and Local Government,N,37900
County,Ventura County,01/1/2002,State Government Educational Services,N,300
County,Ventura County,01/1/2002,Total Nonfarm,N,278700
County,Ventura County,01/1/2002,Local Government Educational Services,N,22100
County,Ventura County,01/1/2002,Local Government,N,36000
County,Ventura County,01/1/2002,City Government,N,4100
County,Ventura County,01/1/2002,State Government,N,1900
County,Ventura County,01/1/2002,County Government,N,8200
County,Ventura County,01/1/2002,Special Districts plus Tribes,N,1600
County,Ventura County,01/1/2002,Department of Defense,N,5600
County,Ventura County,01/1/2002,"        Professional, Scientific, and Technical Services",N,13600
County,Ventura County,01/1/2002,          Federal Government excluding Department of Defense,N,2400
County,Ventura County,01/1/2002,        Accommodation and Food Services,N,21900
County,Ventura County,01/1/2002,Government,N,45900
County,Ventura County,01/1/2002,          Administrative and Support Services,N,18600
County,Ventura County,01/1/2002,"Total, All Industries",N,293700
County,Ventura County,01/1/2002,Total Farm,N,15000
County,Ventura County,01/1/2002,Administrative and Support and Waste and Remediation Services,N,19200
County,Ventura County,01/1/2002,      Private Education and Health Services,N,26100
County,Ventura County,01/1/2002,Other Services,N,9700
County,Ventura County,01/1/2002,Management of Companies and Enterprises,N,7400
County,Ventura County,01/1/2002,Employment Services,N,8400
County,Ventura County,01/1/2002,Total Private,N,232800
County,Ventura County,01/1/2002,Goods Producing,N,49900
County,Ventura County,01/1/2002,      Leisure and Hospitality,N,25800
County,Ventura County,01/1/2002,Federal Government,N,8000
County,Ventura County,02/1/2002,Real Estate and Rental and Leasing,N,4500
County,Ventura County,02/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,8300
County,Ventura County,02/1/2002,      Financial Activities,N,21100
County,Ventura County,02/1/2002,          Transportation and Warehousing,N,5100
County,Ventura County,02/1/2002,General Merchandise Retailers,N,5600
County,Ventura County,02/1/2002,Wholesale Trade,N,11900
County,Ventura County,02/1/2002,"        Transportation, Warehousing, and Utilities",N,6000
County,Ventura County,02/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,02/1/2002,Retail Trade,N,33400
County,Ventura County,02/1/2002,      Professional and Business Services,N,40400
County,Ventura County,02/1/2002,          Insurance Carriers and Related Activities,N,7500
County,Ventura County,02/1/2002,        Finance and Insurance,N,16600
County,Ventura County,02/1/2002,      Information,N,8600
County,Ventura County,02/1/2002,Total Nonfarm,Y,282700
County,Ventura County,02/1/2002,Specialty Trade Contractors,N,11300
County,Ventura County,02/1/2002,"Trade, Transportation, and Utilities",N,51300
County,Ventura County,02/1/2002,Service-Providing,N,230100
County,Ventura County,02/1/2002,          Computer and Electronic Product Manufacturing,N,11100
County,Ventura County,02/1/2002,Durable Goods,N,25300
County,Ventura County,02/1/2002,Construction,N,15800
County,Ventura County,02/1/2002,Non-durable Goods,N,8900
County,Ventura County,02/1/2002,"     Mining, Logging and Construction",N,16500
County,Ventura County,02/1/2002,      Mining and Logging,N,700
County,Ventura County,02/1/2002,Chemical Manufacturing,N,2800
County,Ventura County,02/1/2002,Manufacturing,N,34200
County,Ventura County,02/1/2002,Private Service Providing,N,183600
County,Ventura County,02/1/2002,Total State and Local Government,N,38700
County,Ventura County,02/1/2002,State Government Excluding Education,N,1600
County,Ventura County,02/1/2002,State Government Educational Services,N,300
County,Ventura County,02/1/2002,Total Nonfarm,N,280800
County,Ventura County,02/1/2002,Local Government Educational Services,N,22900
County,Ventura County,02/1/2002,City Government,N,4100
County,Ventura County,02/1/2002,Local Government,N,36800
County,Ventura County,02/1/2002,State Government,N,1900
County,Ventura County,02/1/2002,Special Districts plus Tribes,N,1600
County,Ventura County,02/1/2002,County Government,N,8200
County,Ventura County,02/1/2002,"        Professional, Scientific, and Technical Services",N,13600
County,Ventura County,02/1/2002,Department of Defense,N,5500
County,Ventura County,02/1/2002,          Federal Government excluding Department of Defense,N,2300
County,Ventura County,02/1/2002,Government,N,46500
County,Ventura County,02/1/2002,        Accommodation and Food Services,N,22100
County,Ventura County,02/1/2002,          Administrative and Support Services,N,18700
County,Ventura County,02/1/2002,"Total, All Industries",N,299400
County,Ventura County,02/1/2002,Total Farm,N,18600
County,Ventura County,02/1/2002,Administrative and Support and Waste and Remediation Services,N,19300
County,Ventura County,02/1/2002,      Private Education and Health Services,N,26300
County,Ventura County,02/1/2002,Other Services,N,9800
County,Ventura County,02/1/2002,Employment Services,N,8600
County,Ventura County,02/1/2002,Management of Companies and Enterprises,N,7500
County,Ventura County,02/1/2002,Federal Government,N,7800
County,Ventura County,02/1/2002,      Leisure and Hospitality,N,26100
County,Ventura County,02/1/2002,Goods Producing,N,50700
County,Ventura County,02/1/2002,Total Private,N,234300
County,Ventura County,03/1/2002,Total Nonfarm,Y,282500
County,Ventura County,03/1/2002,Real Estate and Rental and Leasing,N,4500
County,Ventura County,03/1/2002,      Financial Activities,N,21400
County,Ventura County,03/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,8400
County,Ventura County,03/1/2002,General Merchandise Retailers,N,5600
County,Ventura County,03/1/2002,          Transportation and Warehousing,N,5100
County,Ventura County,03/1/2002,Wholesale Trade,N,11800
County,Ventura County,03/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,03/1/2002,"        Transportation, Warehousing, and Utilities",N,6000
County,Ventura County,03/1/2002,Retail Trade,N,33500
County,Ventura County,03/1/2002,      Professional and Business Services,N,40700
County,Ventura County,03/1/2002,          Insurance Carriers and Related Activities,N,7500
County,Ventura County,03/1/2002,      Information,N,8700
County,Ventura County,03/1/2002,        Finance and Insurance,N,16900
County,Ventura County,03/1/2002,Specialty Trade Contractors,N,11100
County,Ventura County,03/1/2002,Service-Providing,N,231100
County,Ventura County,03/1/2002,"Trade, Transportation, and Utilities",N,51300
County,Ventura County,03/1/2002,Durable Goods,N,25300
County,Ventura County,03/1/2002,          Computer and Electronic Product Manufacturing,N,11100
County,Ventura County,03/1/2002,Construction,N,15500
County,Ventura County,03/1/2002,"     Mining, Logging and Construction",N,16200
County,Ventura County,03/1/2002,Non-durable Goods,N,9100
County,Ventura County,03/1/2002,      Mining and Logging,N,700
County,Ventura County,03/1/2002,Manufacturing,N,34400
County,Ventura County,03/1/2002,Chemical Manufacturing,N,2900
County,Ventura County,03/1/2002,Private Service Providing,N,185100
County,Ventura County,03/1/2002,State Government Excluding Education,N,1600
County,Ventura County,03/1/2002,Total State and Local Government,N,38100
