"fips","state","area_name","Less than a high school diploma, 2018-22","High school diploma only, 2018-22","Some college or associate's degree, 2018-22","Bachelor's degree or higher, 2018-22","Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22","CENSUS_2020_POP","ESTIMATES_BASE_2020","POP_ESTIMATE_2020","N_POP_CHG_2020","BIRTHS_2020","DEATHS_2020","NATURAL_CHG_2020","INTERNATIONAL_MIG_2020","DOMESTIC_MIG_2020","NET_MIG_2020","RESIDUAL_2020","GQ_ESTIMATES_BASE_2020","GQ_ESTIMATES_2020","Civilian_labor_force_2020","Employed_2020","Unemployed_2020","Unemployment_rate_2020"
"00000","US","United States",24599698,59741825,64508122,77751347,10.8559533578741,26.364326330928,28.4677138571397,34.3120064540582,331449281,331464948,331526933,61985,894123,852024,42099,19886,0,19886,0,NA,NA,161483724,148453335,13030389,8.1
"01000","AL","Alabama",421180,1041725,1032770,932845,12.2846009356807,30.3841015948573,30.122910176986,27.2083872924761,5024279,5024294,5031864,7570,13867,15165,-1298,125,9615,9740,-872,127914,131372,2269672,2124409,145263,6.4
"01001","AL","Autauga County",3857,12517,11935,11879,9.59739225639494,31.1461132676421,29.6979197770479,29.5585746989151,58805,58809,58915,106,162,176,-14,0,100,100,20,484,484,NA,NA,NA,NA
"01003","AL","Baldwin County",14031,46391,52215,54385,8.40068972949671,27.775382883692,31.26234867263,32.5615787141814,231767,231768,233227,1459,560,602,-42,11,1613,1624,-123,3549,3448,NA,NA,NA,NA
"01005","AL","Barbour County",4155,6507,4913,2100,23.5077793493635,36.8147100424328,27.7963224893918,11.8811881188119,25223,25229,24969,-260,60,92,-32,0,-186,-186,-42,2721,2482,NA,NA,NA,NA
"01007","AL","Bibb County",3366,6510,4310,1739,21.1365777080063,40.8791208791209,27.0643642072213,10.9199372056515,22293,22301,22188,-113,56,55,1,0,-101,-101,-13,2141,2060,NA,NA,NA,NA
"01009","AL","Blount County",7447,14414,12939,6017,18.2448489599922,35.3137173236642,31.7000269495553,14.7414067667883,59134,59130,59107,-23,137,199,-62,1,21,22,17,616,616,NA,NA,NA,NA
"01011","AL","Bullock County",1905,2957,1623,671,26.6210173281163,41.3219675796534,22.6802683063164,9.37674678591392,10357,10360,10229,-131,24,41,-17,0,-94,-94,-20,1705,1631,NA,NA,NA,NA
"01013","AL","Butler County",1646,6364,3525,1731,12.4076586763154,47.9722599125584,26.5716870194482,13.048394391678,19051,19046,19025,-21,47,88,-41,0,15,15,5,285,285,NA,NA,NA,NA
"01015","AL","Calhoun County",11783,27278,24752,15118,14.9282284526992,34.5592986279155,31.3590351066121,19.1534378127732,116441,116441,116243,-198,305,397,-92,0,-115,-115,9,5632,5554,NA,NA,NA,NA
"01017","AL","Chambers County",4087,9763,7710,3146,16.5425402736177,39.5167165870639,31.2069942524083,12.7337488869101,34772,34772,34651,-121,87,167,-80,2,-51,-49,8,860,860,NA,NA,NA,NA
"01019","AL","Cherokee County",3348,6678,5794,2703,18.0748258921341,36.0524753009772,31.2800302326837,14.592668574205,24971,24973,24969,-4,62,122,-60,0,59,59,-3,278,278,NA,NA,NA,NA
"01021","AL","Chilton County",5460,12737,8135,4277,17.8378908164265,41.6119441994185,26.5771505112875,13.9730144728675,45014,45011,45057,46,147,143,4,1,26,27,15,388,388,NA,NA,NA,NA
"01023","AL","Choctaw County",1594,3460,2817,1181,17.6093680954485,38.2235969951392,31.1201944321697,13.0468404772426,12665,12669,12626,-43,33,53,-20,0,-22,-22,-1,66,66,NA,NA,NA,NA
"01025","AL","Clarke County",2980,6569,4261,2205,18.6075554167968,41.0177958164221,26.6063065875741,13.768342179207,23087,23091,22987,-104,57,101,-44,0,-56,-56,-4,372,372,NA,NA,NA,NA
"01027","AL","Clay County",1675,3761,3334,1283,16.6616930269571,37.4117178951557,33.164229583209,12.7623594946782,14236,14237,14212,-25,33,39,-6,0,-20,-20,1,258,258,NA,NA,NA,NA
"01029","AL","Cleburne County",1855,4145,2877,1753,17.450611476952,38.9934148635936,27.0649106302916,16.4910630291627,15056,15057,15064,7,37,48,-11,0,14,14,4,174,174,NA,NA,NA,NA
"01031","AL","Coffee County",4891,10581,13185,7899,13.3794725899989,28.9446328920013,36.0679505416348,21.607943976365,53465,53459,53549,90,159,174,-15,1,91,92,13,764,706,NA,NA,NA,NA
"01033","AL","Colbert County",5561,14960,12946,7368,13.6182196645035,36.6352393779846,31.703195787927,18.0433451695849,57227,57232,57304,72,166,176,-10,2,68,70,12,407,407,NA,NA,NA,NA
"01035","AL","Conecuh County",886,4046,2334,1116,10.5702696253877,48.2701026008113,27.8453829634932,13.3142448103078,11597,11597,11554,-43,29,45,-16,0,-27,-27,0,128,128,NA,NA,NA,NA
"01037","AL","Coosa County",1329,3334,2530,856,16.5113678717853,41.4212945707541,31.4324760839856,10.634861473475,10387,10378,10335,-43,27,29,-2,0,-33,-33,-8,312,262,NA,NA,NA,NA
"01039","AL","Covington County",3767,9593,8774,4313,14.2435815026279,36.2725450901804,33.1757855333308,16.3080878738609,37570,37563,37506,-57,88,157,-69,0,3,3,9,778,778,NA,NA,NA,NA
"01041","AL","Crenshaw County",1640,3885,2050,1573,17.9274158285964,42.4682990817665,22.4092697857455,17.1950153038916,13194,13193,13163,-30,41,60,-19,1,-13,-12,1,153,153,NA,NA,NA,NA
"01043","AL","Cullman County",9466,19297,21501,11256,15.3868660598179,31.3670351105332,34.9496098829649,18.296488946684,87866,87857,88136,279,252,254,-2,0,290,290,-9,1262,1244,NA,NA,NA,NA
"01045","AL","Dale County",4830,10554,11848,6455,14.3378751447146,31.3295930180782,35.1708374150266,19.1616944221807,49326,49322,49257,-65,149,137,12,-1,-78,-79,2,757,757,NA,NA,NA,NA
