Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Francesca Coppo,Pomona-Pitzer,SCIAC Championships,22.84,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861308#time146861308,50 Free,20,NA
Valerie Mello,Pomona-Pitzer,SCIAC Championships,22.9,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861316#time146861316,50 Free,17,NA
Madi Bodhidatta,California Lutheran,SCIAC Championships,23.4,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861254#time146861254,50 Free,16,NA
Madeleine Kan,C-M-S,SCIAC Championships,23.49,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861295#time146861295,50 Free,15,NA
Charlotte Dixon,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,23.7,NA,https://www.swimcloud.com/results/333169/event/7/?id=144029469#time144029469,50 Free,4,NA
Joy Lee,Pomona-Pitzer,SCIAC Championships,23.71,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861312#time146861312,50 Free,NA,707
Nina Aballea,Pomona-Pitzer,SCIAC Championships,23.81,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861304#time146861304,50 Free,13,NA
Chesna Pelka,Pomona-Pitzer,SCIAC Championships,23.86,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861319#time146861319,50 Free,12,NA
Breann Bracken,California Lutheran,SCIAC Championships,23.98,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861256#time146861256,50 Free,9,NA
Mackenzie Mayfield,C-M-S,SCIAC Championships,23.99,R,https://www.swimcloud.com/results/310385/event/13/?id=146862032#time146862032,50 Free,34,NA
Sabrina Wang,Pomona-Pitzer,SCIAC Championships,24.01,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861323#time146861323,50 Free,NA,681
Alyssa Kooy,Chapman,SCIAC Championships,24.04,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861279#time146861279,50 Free,6.50,NA
Sachi Tanizaki-Hudson,Chapman,SCIAC Championships,24.04,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861287#time146861287,50 Free,6.50,NA
Annika Sharma,C-M-S,CMS vs. Pomona-Pitzer,24.2,R,https://www.swimcloud.com/results/324574/event/11/?id=138342254#time138342254,50 Free,4,NA
Ally Rudolph,C-M-S,SCIAC Championships,24.21,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861298#time146861298,50 Free,NA,664
Tatum Chambers,Chapman,SCIAC Championships,24.24,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861275#time146861275,50 Free,5,NA
Avery Hall,Chapman,SCIAC Championships,24.24,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861276#time146861276,50 Free,NA,661
May Ling Roberts,Pomona-Pitzer,SCIAC Championships,24.24,R,https://www.swimcloud.com/results/310385/event/13/?id=146862037#time146862037,50 Free,14,NA
